N eta rho kappa
400 0.42 34.776737 15.8395369021
40 0.64 11.78557 3.39721347277
1000 0.54 40.9987612 13.2508078999
400 0.8 15.899368 14.3583011013
1000 0.24 55.2423712 51.5546284593
40 0.16 12.33381 38.6218398218
40 0.3 12.23237 12.6489579293
100 0.02 18.609172 291.227780474
1000 0.72 22.646734 13.9872176232
40 0.24 12.35618 17.8851347719
1000 0.88 13.8400116 16.5016638546
100 0.84 14.16436 8.19231137625
40 0.96 10.273325 3.63026818037
400 0.52 32.318977 11.5200645
100 0.86 13.778192 8.47307815597
1000 0.84 14.7435308 16.4133896747
1000 0.86 14.2408588 16.5162007245
1000 0.5 44.6761084 14.8182601325
100 0.96 12.674784 8.63459733272
