N eta mean fluc binder
40 0.08 0.989037335413 0.000126318179198 -0.170846494711
400 0.16 0.947387106468 0.0530330752673 -10.5206812644
40 0.82 0.180868452979 0.320130673743 0.0484035318455
1000 0.32 0.772624695906 3.11155996531 -5.71900318889
1000 0.64 0.224401584087 6.05379038901 0.150185703332
1000 0.68 0.154331041122 4.09251576605 0.229468707918
40 0.1 0.982917632579 0.00030878184534 -0.113350419387
400 0.56 0.42241341645 2.89128670018 -0.77998463814
40 0.46 0.672700762892 0.104429860771 -0.0815106807251
400 0.68 0.198389973743 2.29562165761 0.199690513863
1000 0.82 0.0378338209296 0.378954977867 -0.032293981948
40 0.52 0.592616492421 0.157352692255 -0.103397250292
40 0.94 0.142813205985 0.218066887529 -0.0921155937347
100 0.34 0.798033587063 0.0743248796742 -2.19859430518
100 0.04 0.997026333458 1.72149450682e-05 -7.64349074256
40 0.54 0.565319382199 0.177657324979 -0.0937926126106
100 0.0 1.0 1.77493703675e-28 0.666666666667
400 0.44 0.62595194779 1.85292518512 -3.73006991448
40 0.06 0.993832731141 4.05077502606e-05 -0.190394967905
1000 0.22 0.892067609268 0.702591184068 -3.95562421736
400 0.02 0.999091437642 2.35138642234e-05 -25.807417552
1000 0.14 0.954564808722 0.242539949651 -34.5067858281
100 0.62 0.392687539268 0.722703955186 -0.524093172046
1000 0.76 0.0591566384865 0.8972405979 -0.0249660343834
40 0.44 0.69790154747 0.0863844788125 -0.1203793399
40 0.58 0.507015110268 0.226301352437 -0.21980811053
100 0.18 0.941021104952 0.00668187618253 -1.19368422954
40 0.66 0.384463363507 0.362235350146 -0.0871922854766
100 0.06 0.99341353367 8.25038965076e-05 -2.4826366354
400 0.62 0.310272441902 2.98365944015 -0.120276941311
100 0.14 0.964308888821 0.00238796416085 -1.58431027807
100 0.4 0.72596050811 0.136998375103 -1.9260489057
100 0.7 0.252657084844 0.771209003829 0.0947355882619
1000 0.56 0.37415693121 9.11044955318 -0.323211173156
1000 0.02 0.999034471237 0.000168531473918 -19.7646205052
400 0.4 0.687366668602 1.22798119448 -4.02504811786
1000 0.3 0.801048199341 2.18247561449 -4.1702641607
400 0.92 0.0466237056798 0.234225365102 -0.0307295300162
100 0.66 0.322136042041 0.768405343254 -0.111855899648
400 0.94 0.0457662370273 0.226817184194 -0.071096977666
100 0.68 0.286938808669 0.790873829084 0.0361802222041
1000 0.48 0.520135328405 8.32912717336 -1.24080964569
100 0.6 0.427451501467 0.62731266976 -0.754209031375
100 0.22 0.912837049287 0.0142550098907 -2.74258526045
100 0.52 0.557153115205 0.362617885628 -1.63908533823
1000 0.52 0.451122855643 8.72256991764 -0.791402396931
40 0.28 0.870637532708 0.0170487998465 -0.14557089412
40 0.18 0.945263642049 0.00321689348144 -0.102080151974
100 0.5 0.586898370467 0.326757737486 -2.06547604762
40 0.14 0.966740433245 0.00116429636882 -0.0814060180687
40 0.36 0.791257813454 0.0432904528588 -0.0938570925658
400 0.98 0.0446738856927 0.214053161537 -0.0514237804528
100 0.8 0.129239798387 0.417899955653 0.0620056380906
100 0.44 0.673349674044 0.20162158141 -2.16758378964
1000 0.42 0.624063468286 5.97305777366 -1.8879355596
100 0.46 0.646377600144 0.232181174561 -2.06453038275
400 0.32 0.795894261617 0.544546162734 -4.39475855431
400 0.3 0.819190329244 0.448034078259 -4.17536092986
