N eta <d> var(d)
1000 0.76 0.232566930537 0.00160120717419
40 0.44 0.226244497812 0.00729159753464
40 0.58 0.244104227996 0.0107080027978
100 0.18 0.204488466838 0.00671849423603
40 0.66 0.237155192293 0.00733298879147
100 0.06 0.210546085968 0.00824972149705
400 0.62 0.199992520477 0.00486799914991
100 0.14 0.209650264557 0.00724282778612
100 0.4 0.210913519658 0.00471645208499
100 0.7 0.225874479503 0.00609273951999
1000 0.56 0.174724073752 0.00239044821212
1000 0.02 0.163762122259 0.00170228840547
400 0.4 0.182391510889 0.00319782797205
1000 0.3 0.154985837158 0.00344967921447
400 0.92 0.245060019173 0.00168170860769
100 0.66 0.227173167135 0.00386988446282
400 0.94 0.245867633461 0.0017300330205
100 0.68 0.226679262378 0.00389956537155
1000 0.48 0.166385275472 0.00453534205554
N eta <d> var(d)
100 0.6 0.227381577681 0.00460690680233
100 0.22 0.217471236169 0.00576708901715
100 0.52 0.215168049894 0.00292685340346
1000 0.52 0.170709039751 0.00339874512329
40 0.28 0.242395375122 0.00663045375424
40 0.18 0.227204069455 0.00676944398224
100 0.5 0.213477574387 0.00574284866974
40 0.14 0.233648175341 0.0072775395479
40 0.36 0.233090091507 0.00383532016703
400 0.98 0.247980505817 0.001351433083
100 0.8 0.246762758202 0.00405788727301
100 0.44 0.218801691406 0.00441605039448
1000 0.42 0.16569860135 0.00336747577804
100 0.46 0.222728488995 0.00401412561851
400 0.32 0.178072700753 0.00586581568965
400 0.3 0.182035617633 0.00374806202888
1000 0.36 0.154501311561 0.00471431723175
100 0.54 0.217910931773 0.00311337496373
1000 0.62 0.188585221673 0.00206368547304
1000 0.8 0.238109084446 0.00163875817138
400 0.28 0.172091479967 0.0057020416205
1000 0.7 0.212737813361 0.00270204487573
40 0.62 0.229233245087 0.00766035247769
40 0.8 0.238446331733 0.00394808630138
1000 0.94 nan nan
N eta <d> var(d)
1000 0.92 0.248918625042 0.00157694984174
40 0.76 0.230950225503 0.00709790054099
1000 0.18 0.146091688522 0.00451238000311
400 0.84 0.243716215727 0.00270892217016
40 0.22 0.228937105292 0.00627054360363
1000 0.1 0.147430788759 0.00355485917503
100 0.9 0.241973563976 0.00399836511246
100 0.72 0.235308557249 0.00384560125447
400 0.14 0.176171087045 0.00480274697102
1000 0.74 0.224644834152 0.00184128805538
40 0.38 0.230931283513 0.0106719572631
100 0.56 0.22091634191 0.0046052387358
40 0.2 0.230615934121 0.00346674683305
400 0.72 0.226168550821 0.00290935386134
400 0.64 0.20349920789 0.0024617872764
1000 0.78 0.233939070186 0.00103430323514
400 0.88 0.245164541365 0.00146587002696
400 0.74 0.229285524456 0.00344832707564
100 0.48 0.223054970703 0.00578325562742
100 0.28 0.225168369085 0.00635618837769
100 0.92 0.25177512274 0.00434457203522
400 0.9 0.244236541787 0.00130883853631
400 0.38 0.189005986722 0.00323089201068
40 0.56 0.235319260731 0.00806338096382
100 0.08 0.218474435083 0.00488365902417
N eta <d> var(d)
1000 0.6 0.186405641532 0.0031390612337
100 0.26 0.208737136359 0.00588738824908
400 0.54 0.191573525875 0.00308526277676
100 0.82 0.249539523956 0.0031847222257
40 0.34 0.231149749249 0.00875447140273
1000 0.46 0.162675834431 0.00395667025792
400 0.08 0.166197940469 0.004635538281
40 0.92 0.245672889412 0.00843474472808
40 0.0 0.236076240071 4.71844785466e-17
1000 0.58 0.183851450689 0.00388802400524
1000 0.26 0.151326553786 0.00604567364894
400 0.36 0.181884403405 0.00382583247298
40 0.68 0.240551636003 0.00440151955992
40 0.32 0.239591936499 0.00681239712339
40 0.6 0.242913030716 0.00637802415019
100 0.24 0.210732128689 0.00419962432755
400 0.24 0.179499837223 0.00518915251646
40 0.86 0.250760950622 0.00810905836008
40 0.26 0.221343343624 0.00652561524067
100 0.78 0.239979060611 0.00524252030779
1000 0.28 0.164217319601 0.00353464606545
100 0.3 0.207771000747 0.00592923366585
400 0.26 0.178583802962 0.00484491599457
100 0.76 0.229097534701 0.00467041628811
100 0.2 0.206452573992 0.00455214769164
N eta <d> var(d)
1000 0.34 0.16230570851 0.00296464389647
400 0.5 0.184149136382 0.00332945627485
400 0.2 0.172697321229 0.00432401270212
400 0.58 0.198262100596 0.00257444491329
400 0.96 0.24539514755 0.00186470732474
400 0.42 0.185626682497 0.00400173261513
40 0.64 0.241577957157 0.0053341485764
1000 0.54 0.17274677476 0.00333734315653
400 0.8 0.237262131366 0.00216961628941
1000 0.24 0.152574237342 0.00466269872972
40 0.16 0.222948457962 0.00480091366044
40 0.3 0.223800124243 0.00614629029714
100 0.02 0.226394795354 0.0045859019985
1000 0.72 0.219361245291 0.00132193627156
40 0.24 0.218615066934 0.00734420276437
